ID,Bathrooms,Bedrooms,Size/Area,Type,price_in_millions,area,area2
94,1,1,21.0,Flat,2,Bahria Town Karachi,Bahria Town Karachi
95,2,2,56.0,Flat,3,Bahria Town Karachi,Bahria Town Karachi
96,2,2,120.0,Flat,13,Bahria Town Karachi,Bahria Heights
97,4,4,350.0,House,26,Bahria Town Karachi,Bahria Sports City
98,2,2,100.0,Flat,8,Gizri,Lower Gizri
99,6,7,500.0,House,140,DHA Defence,DHA Phase 8 - Zone B
100,2,2,100.0,Upper Portion,12,Jamshed Town,PECHS Block 2
101,5,5,500.0,House,150,DHA Defence,DHA Phase 8 - Zone A
102,3,3,75.0,House,10,Bahria Town Karachi,Bahria Greens
103,2,2,120.0,Flat,7,Bahria Town Karachi,Bahria Heights
104,2,2,115.0,Flat,14,DHA Defence,Bukhari Commercial Area
106,2,2,120.0,House,8,Gadap Town,Surjani Town - Sector 6
107,3,3,256.0,Upper Portion,25,North Nazimabad,North Nazimabad - Block N
108,4,4,300.0,Upper Portion,22,North Nazimabad,North Nazimabad - Block L
109,2,2,100.0,Upper Portion,6,North Nazimabad,North Nazimabad - Block R
110,5,6,300.0,House,85,DHA Defence,DHA Phase 7
111,5,6,350.0,House,95,Navy Housing Scheme Karsaz,Navy Housing Scheme Karsaz
112,3,3,272.0,Flat,22,Bahria Town Karachi,Bahria Town - Precinct 10-A
113,3,3,235.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 27
114,3,3,125.0,House,13,Bahria Town Karachi,Bahria Town - Precinct 10
115,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 31
116,4,4,328.0,Flat,65,DHA Defence,Emaar Coral Towers
117,3,3,200.0,Upper Portion,18,North Nazimabad,North Nazimabad - Block H
118,2,2,100.0,Upper Portion,12,Jamshed Town,PECHS Block 2
119,3,3,222.0,Flat,45,DHA Defence,DHA Phase 8
120,4,4,100.0,House,50,DHA Defence,DHA Phase 8
121,2,3,260.0,Flat,80,DHA Defence,Emaar Panorama
122,3,4,350.0,Flat,93,DHA Defence,Emaar Panorama
123,4,4,75.0,House,11,Bahria Town Karachi,Bahria Greens
124,3,3,152.0,House,20,Bahria Town Karachi,Bahria Homes - Iqbal Villas
125,3,3,200.0,House,26,Bahria Town Karachi,Bahria Town - Quaid Villas
126,3,3,87.0,House,10,Bahria Town Karachi,Bahria Greens
127,5,5,500.0,House,68,Malir,Falcon Complex New Malir
128,5,5,500.0,House,70,Malir,Falcon Complex New Malir
129,4,4,350.0,House,56,Malir,Falcon Complex New Malir
130,3,3,286.0,Flat,32,Cantt,Askari 5
131,6,6,500.0,House,113,DHA Defence,DHA Phase 5
132,7,5,500.0,House,175,Gulshan-e-Iqbal Town,Bahadurabad
133,2,3,183.0,Flat,50,DHA Defence,Emaar Pearl Towers
134,1,1,54.0,Flat,4,Bahria Town Karachi,Bahria Town Karachi
135,8,8,400.0,House,90,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-1
136,5,7,500.0,House,135,DHA Defence,DHA Phase 6
137,5,5,300.0,House,73,DHA Defence,DHA Phase 7 Extension
138,3,3,189.0,Flat,24,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 17
139,2,2,75.0,Flat,4,Scheme 33,Malik Co-operative Housing Society
140,4,4,350.0,House,24,Bahria Town Karachi,Bahria Town - Precinct 35
141,5,5,500.0,House,44,Bahria Town Karachi,Bahria Paradise - Precinct 51
142,2,2,120.0,Flat,12,Bahria Town Karachi,Bahria Heights
143,2,2,106.0,Flat,10,Bahria Town Karachi,Bahria Apartments
144,4,4,328.0,Flat,28,Bahria Town Karachi,Bahria Apartments
145,5,5,500.0,House,48,Bahria Town Karachi,Bahria Paradise - Precinct 51
146,3,3,235.0,House,22,Bahria Town Karachi,Bahria Town - Precinct 27
147,3,3,235.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 31
148,2,2,120.0,Flat,9,Bahria Town Karachi,Bahria Heights
149,2,2,139.0,Flat,17,Malir,Saima Jinnah Avenue
150,3,3,156.0,Flat,16,Cantt,Saima Presidency
151,3,3,256.0,Flat,25,Malir,Saima Jinnah Avenue
152,4,5,120.0,House,20,Gadap Town,Gulshan-e-Maymar - Sector Q
153,3,3,206.0,Flat,25,DHA Defence,DHA Phase 2 Extension
154,3,3,167.0,Flat,22,Clifton,Clifton - Block 1
155,5,5,377.0,House,62,Cantt,Askari 5 - Sector J
156,2,2,120.0,Flat,10,Bahria Town Karachi,Bahria Heights
157,4,4,267.0,Flat,21,Cantt,Saima Presidency
158,2,2,115.0,Flat,14,Bahria Town Karachi,Bahria Town - Precinct 19
159,2,2,115.0,Flat,15,Bahria Town Karachi,Bahria Town - Precinct 19
160,3,3,189.0,Flat,24,Bahria Town Karachi,Bahria Town - Precinct 19
161,2,2,94.0,Flat,12,Bahria Town Karachi,Bahria Town - Precinct 19
162,2,2,101.0,Flat,13,Bahria Town Karachi,Bahria Town - Precinct 19
163,4,4,350.0,House,28,Bahria Town Karachi,Bahria Town - Precinct 35
164,3,3,200.0,House,27,Bahria Town Karachi,Bahria Town - Quaid Villas
165,3,3,200.0,House,21,Bahria Town Karachi,Bahria Town - Precinct 10-A
166,3,3,235.0,House,19,Bahria Town Karachi,Bahria Town - Precinct 27
167,3,3,152.0,House,20,Bahria Town Karachi,Bahria Homes - Iqbal Villas
168,3,3,152.0,House,19,Bahria Town Karachi,Bahria Town - Precinct 11-B
169,2,2,133.0,Flat,11,Bahria Town Karachi,Bahria Town Karachi
171,2,2,150.0,Flat,10,Saadi Road,Tulip Tower
172,4,4,300.0,Flat,18,Scheme 33,Lateef Duplex Luxuria
173,2,3,144.0,Flat,13,Cantt,Saima Presidency
174,2,2,120.0,Flat,9,Malir,Falaknaz Presidency
175,3,4,244.0,Flat,32,Malir,Saima Jinnah Avenue
176,5,5,500.0,House,35,Bahria Town Karachi,Bahria Paradise
177,4,3,350.0,House,22,Bahria Town Karachi,Bahria Sports City
178,3,4,200.0,Flat,36,Khaliq-uz-Zaman Road,Khaliq-uz-Zaman Road
179,2,2,83.0,Flat,4,North Karachi,North Karachi
181,6,6,500.0,House,145,DHA Defence,DHA Phase 5
182,2,2,128.0,Flat,8,Scheme 33,Noman Residencia
183,2,2,128.0,Flat,8,Scheme 33,Noman Residencia
184,4,4,350.0,House,24,Bahria Town Karachi,Bahria Sports City
185,3,3,235.0,House,19,Bahria Town Karachi,Bahria Town - Precinct 31
186,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 31
187,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 31
188,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 31
189,4,4,300.0,House,72,DHA Defence,DHA Phase 6
190,6,6,500.0,House,150,DHA Defence,DHA Phase 8
191,7,7,600.0,House,200,DHA Defence,DHA Phase 6
192,2,2,115.0,Flat,10,Scheme 33,Alaska Residency
193,3,3,250.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 30
194,3,3,75.0,House,10,Bahria Town Karachi,Bahria Greens
195,6,7,500.0,House,92,DHA Defence,DHA Phase 6
196,6,6,666.0,House,130,DHA Defence,DHA Phase 7
197,5,7,272.0,House,56,Bahria Town Karachi,Bahria Town - Overseas Block
198,4,4,80.0,House,11,Malir,Anwar-e-Ibrahim
199,4,4,120.0,House,53,DHA Defence,DHA Phase 8
200,3,3,289.0,Flat,32,Cantt,Askari 5
201,2,3,106.0,Flat,16,DHA Defence,Ittehad Commercial Area
202,5,5,500.0,House,45,Bahria Town Karachi,Bahria Paradise - Precinct 51
203,2,2,106.0,Flat,11,DHA Defence,DHA Phase 6
204,2,2,75.0,Flat,4,Gohar Green City,Gohar Green City
205,4,4,100.0,House,39,DHA Defence,DHA Phase 7 Extension
206,2,2,106.0,Flat,12,DHA Defence,Bukhari Commercial Area
207,2,2,106.0,Flat,12,DHA Defence,Bukhari Commercial Area
208,4,4,300.0,House,68,DHA Defence,DHA Phase 4
209,4,4,350.0,House,95,DHA Defence,Emaar Crescent Bay
210,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 27
211,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 27
212,3,3,125.0,House,16,Bahria Town Karachi,Bahria Town - Ali Block
213,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 27
214,6,5,400.0,House,70,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D
215,2,2,52.0,Flat,3,Bahria Town Karachi,Bahria Town Karachi
216,3,3,286.0,Flat,34,Cantt,Askari 5
217,5,5,375.0,House,63,Cantt,Askari 5 - Sector J
218,5,5,500.0,House,73,Cantt,Askari 5 - Sector G
219,3,3,75.0,House,10,Bahria Town Karachi,Bahria Greens
220,2,3,120.0,House,16,Scheme 33,Saadi Town - Block 5
221,4,4,175.0,Flat,14,Bahria Town Karachi,Bahria Town Karachi
222,3,3,139.0,Flat,12,Bahria Town Karachi,Bahria Town Karachi
223,3,3,189.0,Flat,34,Clifton,Clifton
224,3,3,125.0,House,17,Bahria Town Karachi,Bahria Town - Ali Block
225,4,4,350.0,House,25,Bahria Town Karachi,Bahria Town - Precinct 35
226,2,2,106.0,Flat,12,DHA Defence,Rahat Commercial Area
228,4,5,500.0,House,120,DHA Defence,DHA Phase 8
229,2,2,75.0,Flat,4,North Karachi,North Karachi - Sector 7-D/2
230,2,2,106.0,Upper Portion,9,North Nazimabad,North Nazimabad - Block D
231,1,1,21.0,Flat,2,Bahria Town Karachi,Bahria Town Karachi
232,3,3,75.0,House,4,Bahria Town Karachi,Bahria Town Karachi
233,3,3,75.0,House,4,Bahria Town Karachi,Bahria Town Karachi
234,3,3,152.0,House,16,Bahria Town Karachi,Bahria Town - Precinct 11-B
235,2,2,120.0,Flat,9,Bahria Town Karachi,Bahria Heights
236,2,2,106.0,Flat,8,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 4
237,3,3,200.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 11-A
238,3,3,200.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 11-A
239,4,4,233.0,Flat,45,Tariq Road,The Park View
240,3,3,178.0,Flat,30,Clifton,Clifton - Block 3
241,6,6,400.0,House,68,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 3
242,3,3,178.0,Flat,12,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 17
243,3,3,167.0,Flat,9,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 13
244,2,2,115.0,Flat,9,Bahria Town Karachi,Bahria Town Karachi
245,1,1,54.0,Flat,4,Bahria Town Karachi,Bahria Town Karachi
246,2,2,106.0,Upper Portion,8,North Nazimabad,North Nazimabad - Block Q
247,3,3,115.0,Upper Portion,9,North Nazimabad,North Nazimabad - Block Q
248,5,6,500.0,House,120,DHA Defence,DHA Phase 8
250,5,6,500.0,House,105,DHA Defence,DHA Phase 6
251,3,3,200.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 11-A
252,3,3,200.0,House,21,Bahria Town Karachi,Bahria Town - Precinct 10-A
253,3,3,200.0,House,21,Bahria Town Karachi,Bahria Town - Precinct 10-A
254,3,3,200.0,House,21,Bahria Town Karachi,Bahria Town - Precinct 10-A
255,3,4,300.0,House,90,DHA Defence,Emaar Crescent Bay
256,2,2,222.0,Flat,60,DHA Defence,Emaar Ocean Front
257,2,2,50.0,Flat,2,Korangi,Allahwala Town - Sector 31-B
258,3,3,152.0,House,20,Bahria Town Karachi,Bahria Homes - Iqbal Villas
259,3,3,156.0,Flat,14,Scheme 33,Rafi Premier Residency
260,2,2,83.0,Flat,9,Scheme 33,Rafi Premier Residency
261,5,5,500.0,House,55,Bahria Town Karachi,Bahria Hills
262,1,1,56.0,Flat,4,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 12
263,5,5,75.0,House,62,North Nazimabad,North Nazimabad - Block B
264,3,3,125.0,House,16,Bahria Town Karachi,Bahria Town - Ali Block
265,4,4,278.0,Flat,63,DHA Defence,Emaar Coral Towers
266,4,4,350.0,House,26,Bahria Town Karachi,Bahria Sports City
267,4,4,350.0,House,25,Bahria Town Karachi,Bahria Town - Precinct 35
268,3,3,189.0,Flat,22,Clifton,Clifton - Block 7
269,2,2,111.0,Flat,18,Clifton,Clifton - Block 5
270,4,4,267.0,Flat,38,Clifton,Clifton - Block 2
271,3,3,167.0,Flat,28,Clifton,Clifton - Block 5
272,3,3,167.0,Flat,18,Clifton,Clifton - Block 1
273,3,3,152.0,House,20,Bahria Town Karachi,Bahria Homes - Iqbal Villas
274,4,4,222.0,Flat,20,North Nazimabad,North Nazimabad - Block B
275,4,4,189.0,Flat,26,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 1
276,5,5,200.0,House,45,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-2
277,3,3,240.0,Upper Portion,25,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 5
278,3,3,128.0,Flat,8,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-3
279,5,5,500.0,House,41,Bahria Town Karachi,Bahria Paradise
280,4,4,125.0,House,14,Bahria Town Karachi,Bahria Town - Ali Block
281,2,2,106.0,Flat,7,Bahria Town Karachi,Bahria Apartments
282,3,4,250.0,Flat,20,Bahria Town Karachi,Bahria Apartments
283,4,4,125.0,House,16,Bahria Town Karachi,Bahria Town - Precinct 12
284,6,6,500.0,House,89,DHA Defence,DHA Phase 6
285,6,6,500.0,House,88,DHA Defence,DHA Phase 6
286,6,6,500.0,House,85,DHA Defence,DHA Phase 7
287,5,5,500.0,House,91,DHA Defence,DHA Phase 5
288,2,2,106.0,Flat,8,Bahria Town Karachi,Bahria Apartments
289,2,2,106.0,Flat,10,Bahria Town Karachi,Bahria Apartments
290,4,4,267.0,Flat,38,Clifton,Clifton - Block 2
291,3,3,167.0,Flat,28,Clifton,Clifton - Block 5
292,3,3,167.0,Flat,18,Clifton,Clifton - Block 1
293,3,3,389.0,Penthouse,32,Clifton,Clifton - Block 2
294,2,2,83.0,Flat,6,Nazimabad,Nazimabad 5
